profile;side;setting_time
HP8930;0021;80
HP8930;0022;60
HP9220;0021;70
HP9220;0022;50
HP9420;0021;90
HP9420;0022;60
HS8050;0021;110
HS8050;0022;0
HS8050;0023;0
HS8051;0021;0
HS8051;0022;0
HS8051;0023;120
HS8600;0021;0
HS8600;0022;75
HS8601;0021;80
HS8601;0022;90
HS9010;0021;80
HS9010;0022;0
HS9020;0021;90
HS9020;0022;15
HS9040;0022;150
HS9050;0022;80
HS9070;0021;60
HS9070;0022;0
HS9080;0021;90
HS9080;0022;80
NP0100;0021;100
NP0100;0022;0
NP0120;0021;80
NP0120;0022;0
NP0130;0021;70
NP0130;0022;80
NP0140;0022;100
NP0150;0021;100
NP0150;0022;90
NP0160;0020;90
NP0160;0021;40
NP0160;0022;0
NP0190;0022;110
NP0200;0022;70
NP0220;0022;90
NP0300;0022;100
NP0360;0022;100
NP0370;0022;80
NP0380;0022;100
NP0770;0022;80
NP0820;0021;90
NP0820;0022;90
NP0850;0021;120
NP0850;0022;90
NP0960;0022;90
NP1120;0021;40
NP1120;0022;0
NP1350;0021;40
NP1350;0022;0
NP1550;0021;40
NP1550;0022;0
NP3280;0022;60
NP3300;0021;60
NP3300;0022;0
NP8120;0021;40
NP8120;0022;0
NP8140;0022;90
NP8150;0021;80
NP8150;0022;80
NP8160;0020;120
NP8160;0021;60
NP8170;0021;60
NP8170;0022;0
NP8180;0022;90
NP8200;0021;40
NP8200;0022;0
NP8250;0022;80
NP8300;0021;40
NP8300;0022;0
NP8501;0021;80
NP8501;0022;0
NP8700;0021;80
NP8700;0022;0
P14604;0022;120
P29537;0021;90
P29560;0021;180
P29595;0021;120
P29595;0022;90
P29596;0022;150
RF0530;0022;90
VA9740;0022;80
ZF0510;0022;80
ZF1910;0022;85
ZF1940;0022;100
ZF2110;0022;120
